author_id,entities,created_at,public_metrics,source,edit_history_tweet_ids,text,id,location,public_metrics_user,created_at_user,id_user,verified,username,name,description,type_1,id_1,type_2,id_2,is_retweet,cashtags,mentions,urls,hashtags,retweet_count,reply_count,like_count,quote_count,followers_count,following_count,tweet_count,listed_count,fulltext,parsed,joy,anger,fear,sadness,best_result,hold_out,validation,label
491143094,"{'hashtags': [{'start': 0, 'end': 17, 'tag': 'portualipacifici'}, {'start': 18, 'end': 26, 'tag': 'Trieste'}, {'start': 28, 'end': 39, 'tag': 'Resistenza'}, {'start': 43, 'end': 51, 'tag': 'pechino'}, {'start': 59, 'end': 64, 'tag': 'Roma'}]}",2021-10-20T09:25:57.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,['1450755157059375107'],#portualipacifici #Trieste  #Resistenza ❤️🥁#pechino chiama #Roma risponde e manda il peggio della meglio polizia  al porto con i idranti lacrimogeni e manganelli.,1450755157059375107,Lazio Ω,"{'followers_count': 1832, 'following_count': 943, 'tweet_count': 42596, 'listed_count': 2}",2012-02-13T09:19:28.000Z,491143094,False,ladamadellago1,Chiara.(Scheggia).,"Siete pregati di limitarvi a dare giudizi sui contenuti e non sugli utenti. 
Lo Staff.",,,,,False,0,0,0,5,0,0,0,0,1832,943,42596,2,#portualipacifici #Trieste  #Resistenza ❤️🥁#pechino chiama #Roma risponde e manda il peggio della meglio polizia  al porto con i idranti lacrimogeni e manganelli.,portualipacifici Trieste Resistenza cuore rosso tamburo pechino chiama Roma risponde e manda il peggio della meglio polizia al porto con i idranti lacrimogeni e manganelli.,0.00013868556,0.9994179,0.00018314527,0.00026025774,anger,False,False,0
1610406056,"{'mentions': [{'start': 0, 'end': 15, 'username': 'AnonymeCitoyen', 'id': '1308840734158618624'}]}",2021-10-18T18:12:43.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,['1450162946081009670'],"@AnonymeCitoyen Polizia, Carabinieri e Guardia di Finanza hanno disperso i manifestanti. A Trieste è tornata la calma. Barriere con base in cemento sono installate per impedire ai dimostratori di accedere al porto.",1450162946081009670,Brive la gaillarde,"{'followers_count': 260, 'following_count': 574, 'tweet_count': 22169, 'listed_count': 0}",2013-07-21T12:11:25.000Z,1610406056,False,GillFABRE,Gilles FABRE #JeSoutiensEmmanuelMacron,Administrateur et animateur de la page d'infos Brive d'Hier et d'Aujoud'hui,replied_to,1.450155439866454e+18,,,False,0,1,0,0,0,0,0,0,260,574,22169,0,"@AnonymeCitoyen Polizia, Carabinieri e Guardia di Finanza hanno disperso i manifestanti. A Trieste è tornata la calma. Barriere con base in cemento sono installate per impedire ai dimostratori di accedere al porto.","utente Polizia, Carabinieri e Guardia di Finanza hanno disperso i manifestanti. A Trieste è tornata la calma. Barriere con base in cemento sono installate per impedire ai dimostratori di accedere al porto.",0.000947314,0.002935903,0.99049896,0.0056177936,fear,False,True,0
1324228380233969665,"{'urls': [{'start': 140, 'end': 163, 'url': 'https://t.co/QrVDaE4Abc', 'expanded_url': 'https://www.liberoquotidiano.it/news/italia/29047338/non-e-arena-no-green-pass-sindacalista-trieste-blocca-italia-scordatevi-regali-natale.html', 'display_url': 'liberoquotidiano.it/news/italia/29…', 'status': 200, 'unwound_url': 'https://www.liberoquotidiano.it/news/italia/29047338/non-e-arena-no-green-pass-sindacalista-trieste-blocca-italia-scordatevi-regali-natale.html'}]}",2021-10-14T18:40:16.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,['1448720324795764737'],"Uellà ! Quello che protesta per la libertà !!!
Non è l'arena, ecco il No green pass che bloccherà l'Italia: ""Scordatevi i regali di Natale"" https://t.co/QrVDaE4Abc",1448720324795764737,,"{'followers_count': 13, 'following_count': 3, 'tweet_count': 14994, 'listed_count': 0}",2020-11-05T05:54:44.000Z,1324228380233969665,False,Tamara22358522,Tamara,,,,,,False,0,0,1,0,0,0,0,0,13,3,14994,0,"Uellà ! Quello che protesta per la libertà !!!
Non è l'arena, ecco il No green pass che bloccherà l'Italia: ""Scordatevi i regali di Natale"" https://t.co/QrVDaE4Abc","Uellà ! Quello che protesta per la libertà !!! Non è l'arena, ecco il No green pass che bloccherà l'Italia: ""Scordatevi i regali di Natale"" url",0.00011879845,0.9994165,0.00023042972,0.0002343354,anger,True,False,0
275754256,"{'urls': [{'start': 106, 'end': 129, 'url': 'https://t.co/yAtm88dYgd', 'expanded_url': 'https://luogocomune.net/17-politica-italiana/5885-trieste,-portuali-caricati-perché-il-porto-è-tedesco-la-vergognosa-ammissione-di-lamorgese', 'display_url': 'luogocomune.net/17-politica-it…', 'status': 200, 'unwound_url': 'https://luogocomune.net/17-politica-italiana/5885-trieste,-portuali-caricati-perché-il-porto-è-tedesco-la-vergognosa-ammissione-di-lamorgese'}]}",2021-11-01T07:55:47.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tbapptwt,['1455081117166587905'],"LuogoComune:Trieste, portuali caricati perché il porto è tedesco: la vergognosa ammissione di Lamorgese   https://t.co/yAtm88dYgd 43",1455081117166587905,,"{'followers_count': 2151, 'following_count': 325, 'tweet_count': 2041895, 'listed_count': 117}",2011-04-01T23:01:59.000Z,275754256,False,TommyBrain,Tommy Brain🇮🇹,,,,,,False,0,0,1,0,0,0,0,0,2151,325,2041895,117,"LuogoComune:Trieste, portuali caricati perché il porto è tedesco: la vergognosa ammissione di Lamorgese   https://t.co/yAtm88dYgd 43","LuogoComune:Trieste, portuali caricati perché il porto è tedesco: la vergognosa ammissione di Lamorgese url numero",0.000158885,0.99933535,0.00014652354,0.00035916423,anger,False,False,0
2958925781,"{'mentions': [{'start': 0, 'end': 9, 'username': 'lordfed3', 'id': '4882542093'}, {'start': 10, 'end': 22, 'username': 'UGiangrieco', 'id': '382539264'}]}",2021-10-20T10:22:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,['1450769432360493066'],"@lordfed3 @UGiangrieco TG5 stamattina: ""La protesta a Trieste si è spostata in Piazza dell'Unità, dove sono arrivati manifestanti da altre regioni, anarchici, punkabbestia e mistici in trasferta"".
Poi si lamentano se le aggrediscono, queste meretrici dell'informazione.",1450769432360493066,"Roma, Lazio","{'followers_count': 617, 'following_count': 624, 'tweet_count': 20336, 'listed_count': 0}",2015-01-03T19:04:31.000Z,2958925781,False,NemoMCMLXV,🅹🅰🅽🆉🅾 🇮🇹🇷🇺 vs 🇪🇺=🚾,Divergente. Tagliatore di ponti.,replied_to,1.4507598128416768e+18,,,False,0,2,0,0,0,0,0,0,617,624,20336,0,"@lordfed3 @UGiangrieco TG5 stamattina: ""La protesta a Trieste si è spostata in Piazza dell'Unità, dove sono arrivati manifestanti da altre regioni, anarchici, punkabbestia e mistici in trasferta"".
Poi si lamentano se le aggrediscono, queste meretrici dell'informazione.","utente utente TGnumero stamattina: ""La protesta a Trieste si è spostata in Piazza dell'Unità, dove sono arrivati manifestanti da altre regioni, anarchici, punkabbestia e mistici in trasferta"". Poi si lamentano se le aggrediscono, queste meretrici dell'informazione.",0.000117417614,0.999419,0.00023153875,0.0002320547,anger,False,False,0
1242506965068189698,"{'urls': [{'start': 33, 'end': 56, 'url': 'https://t.co/O4IxCuEDZt', 'expanded_url': 'https://www.facebook.com/100044157023199/videos/1316433848773224/', 'display_url': 'facebook.com/10004415702319…', 'status': 200, 'unwound_url': 'https://www.facebook.com/100044157023199/videos/1316433848773224/'}]}",2021-10-17T15:07:52.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App,['1449754037885210624'],"Diretta portuali Trieste (17:07)
https://t.co/O4IxCuEDZt",1449754037885210624,stocazzo,"{'followers_count': 961, 'following_count': 512, 'tweet_count': 25160, 'listed_count': 3}",2020-03-24T17:42:53.000Z,1242506965068189698,False,UnnamedPlayer15,Fascinus 🗿🧱🚀🦆,Avea del cul fatto trombetta 💨,,,,,False,0,0,1,0,0,0,0,0,961,512,25160,3,"Diretta portuali Trieste (17:07)
https://t.co/O4IxCuEDZt",Diretta portuali Trieste (ora) url,0.0074708266,0.21592717,0.68737054,0.08923146,fear,False,False,0
959539835999522816,"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/ma3rAJrQnq', 'expanded_url': 'https://voxnews.info/2021/10/14/trieste-portuali-dichiarano-guerra-a-draghi-dittatore/', 'display_url': 'voxnews.info/2021/10/14/tri…', 'status': 200, 'unwound_url': 'https://voxnews.info/2021/10/14/trieste-portuali-dichiarano-guerra-a-draghi-dittatore/'}]}",2021-10-14T12:16:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App,['1448623765672415238'],"TRIESTE, PORTUALI DICHIARANO GUERRA A DRAGHI: DITTATORE! https://t.co/ma3rAJrQnq",1448623765672415238,Roma,"{'followers_count': 187, 'following_count': 90, 'tweet_count': 39505, 'listed_count': 0}",2018-02-02T21:31:39.000Z,959539835999522816,False,mummy53690440,Mummy,,,,,,False,0,0,1,0,0,0,1,0,187,90,39505,0,"TRIESTE, PORTUALI DICHIARANO GUERRA A DRAGHI: DITTATORE! https://t.co/ma3rAJrQnq","TRIESTE, PORTUALI DICHIARANO GUERRA A DRAGHI: DITTATORE! url",0.0001738102,0.99941885,0.00022699324,0.00018030948,anger,False,False,0
1006901293351305216,"{'mentions': [{'start': 0, 'end': 12, 'username': 'FioriFlavio', 'id': '1035698683'}]}",2021-10-20T17:48:30.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter Web App,['1450881628142772229'],"@FioriFlavio 😂😂Flavio non sei cosi ingenuo, il porto di Trieste è strategico....il fermo (che tra l'altro ancora c'è per mancanza di portuali) comporta dei disagi con i trasporti per il nord europa...ed è evidente con la reazione sproporzionata utilizzata per lo sgombro....",1450881628142772229,"Pointe-Noire, Congo","{'followers_count': 339, 'following_count': 769, 'tweet_count': 49779, 'listed_count': 3}",2018-06-13T14:09:10.000Z,1006901293351305216,False,Pandivia1,🇮🇹Pandivia🇨🇬,🇮🇹 🇨🇬,replied_to,1.4508810481334395e+18,,,False,0,1,0,0,0,1,0,0,339,769,49779,3,"@FioriFlavio 😂😂Flavio non sei cosi ingenuo, il porto di Trieste è strategico....il fermo (che tra l'altro ancora c'è per mancanza di portuali) comporta dei disagi con i trasporti per il nord europa...ed è evidente con la reazione sproporzionata utilizzata per lo sgombro....","utente faccina con lacrime di gioia faccina con lacrime di gioia Flavio non sei cosi ingenuo, il porto di Trieste è strategico....il fermo (che tra l'altro ancora c'è per mancanza di portuali) comporta dei disagi con i trasporti per il nord europa...ed è evidente con la reazione sproporzionata utilizzata per lo sgombro....",9.906037e-05,0.9986532,0.00018404127,0.0010637123,anger,False,False,0
3010552077,{},2021-10-13T09:19:36.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android,['1448216841009213441'],"Green pass, ipotesi tamponi gratuiti per i portuali: il rifiuto di Trieste al Viminale.
La politica che si trova ha potere senza voto, sono ciechi senza morale e dignità,e rispetto per il popolo,portuali si e il resto si arrangiano, verrà il giorno che non sarete più protetti.?",1448216841009213441,,"{'followers_count': 952, 'following_count': 1407, 'tweet_count': 31183, 'listed_count': 1}",2015-02-01T17:48:19.000Z,3010552077,False,puntodilucescam,carmine,,,,,,False,0,0,0,0,0,0,0,0,952,1407,31183,1,"Green pass, ipotesi tamponi gratuiti per i portuali: il rifiuto di Trieste al Viminale.
La politica che si trova ha potere senza voto, sono ciechi senza morale e dignità,e rispetto per il popolo,portuali si e il resto si arrangiano, verrà il giorno che non sarete più protetti.?","Green pass, ipotesi tamponi gratuiti per i portuali: il rifiuto di Trieste al Viminale. La politica che si trova ha potere senza voto, sono ciechi senza morale e dignità,e rispetto per il popolo,portuali si e il resto si arrangiano, verrà il giorno che non sarete più protetti.?",8.5400476e-05,0.99921393,0.00020059479,0.0004999854,anger,False,False,TO_READ
1454502163,"{'urls': [{'start': 36, 'end': 59, 'url': 'https://t.co/DoaYTY3SkU', 'expanded_url': 'https://www.youtube.com/watch?v=nrKQ_j4v7Z4', 'display_url': 'youtube.com/watch?v=nrKQ_j…', 'status': 200, 'unwound_url': 'https://www.youtube.com/watch?v=nrKQ_j4v7Z4'}]}",2021-10-20T21:19:21.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",tmscbl56d,['1450934686931423236'],"Comunicato stampa portuali Trieste"" https://t.co/DoaYTY3SkU 2",1450934686931423236,"Bari, Puglia","{'followers_count': 1748, 'following_count': 132, 'tweet_count': 1951053, 'listed_count': 20}",2013-05-24T15:12:39.000Z,1454502163,False,IacobellisT,Tommaso Iacobellis 🇮🇹,Informatico 🇮🇹,,,,,False,0,0,1,0,0,0,0,0,1748,132,1951053,20,"Comunicato stampa portuali Trieste"" https://t.co/DoaYTY3SkU 2","Comunicato stampa portuali Trieste"" url numero",0.028236689,0.35751915,0.6043483,0.009895886,fear,False,True,TO_READ
